Sr. No.,Company name,ISIN,BSE_symb, BSE_mark_cap ,NSE_symb, NSE_mark_cap ,Category,Industry_Classification,Issuer_Type,Corporate_Office_City,Zone,
89,Samvardhana Motherson International Limited,INE775A01035,MOTHERSON," 1,11,481.18 ",MOTHERSON," 1,11,482.98 ",Large Cap,Automobile & Auto Components,Private,Noida,North,
90,Cummins India Ltd.,INE298A01020,CUMMINSIND," 1,11,413.27 ",CUMMINSIND," 1,11,430.11 ",Large Cap,Capital Goods,Private,Pune,West,
91,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM," 1,11,179.84 ",TATACONSUM," 1,11,203.77 ",Large Cap,Fast Moving Consumer Goods,Private,Mumbai,West,
92,CG Power and Industrial Solutions Limited,INE067A01029,CGPOWER," 1,10,919.33 ",CGPOWER," 1,09,459.40 ",Large Cap,Capital Goods,Private,Mumbai,West,
93,LG Electronics India Limited,INE324D01010,LGEINDIA," 1,09,777.98 ",LGEINDIA," 1,09,776.22 ",Large Cap,Consumer Durables,Private,Greater Noida,North,
94,Polycab India Limited,INE455K01017,POLYCAB," 1,09,480.30 ",POLYCAB," 1,09,467.88 ",Large Cap,Capital Goods,Private,Mumbai,West,
95,Union Bank of India,INE692A01016,UNIONBANK," 1,08,930.04 ",UNIONBANK," 1,08,951.30 ",Large Cap,Financial Services,Public,Mumbai,West,
96,Adani Energy Solutions Limited,INE931S01010,ADANIENSOL," 1,08,350.36 ",ADANIENSOL," 1,08,357.17 ",Large Cap,Power,Private,Ahmedabad,West,
97,Apollo Hospitals Enterprises Ltd.,INE437A01024,APOLLOHOSP," 1,07,947.81 ",APOLLOHOSP," 1,07,953.35 ",Large Cap,Healthcare,Private,Chennai,South,
98,Indian Hotels Co. Ltd,INE053A01029,INDHOTEL," 1,05,952.22 ",INDHOTEL," 1,05,954.19 ",Large Cap,Consumer Services,Private,Mumbai,West,
99,Hero MotoCorp Limited,INE158A01026,HEROMOTOCO," 1,05,539.37 ",HEROMOTOCO," 1,05,543.51 ",Large Cap,Automobile & Auto Components,Private,New Delhi,North,
100,Dr. Reddy's Laboratories Ltd.,INE089A01031,DRREDDY," 1,05,177.44 ",DRREDDY," 1,05,170.30 ",Large Cap,Healthcare,Private,Hyderabad,South,
101,Shree Cements Ltd.,INE070A01015,SHREECEM," 1,04,508.85 ",SHREECEM," 1,04,522.78 ",Mid Cap,Construction Materials,Private,Kolkata,East,
